Circuit,Date,Points
Bahrain,14 Mar 2010,18
Australia,28 Mar 2010,11
Malaysia,04 Apr 2010,15
China,18 Apr 2010,16
Spain,09 May 2010,12
Monaco,16 May 2010,6
Turkey,30 May 2010,22
Canada,13 Jun 2010,8
Europe,27 Jun 2010,1
Great Britain,11 Jul 2010,17
Germany,25 Jul 2010,6
Hungary,01 Aug 2010,0
Belgium,29 Aug 2010,14
Italy,12 Sep 2010,12
Singapore,26 Sep 2010,10
Japan,10 Oct 2010,8
South Korea,24 Oct 2010,12
Brazil,07 Nov 2010,14
Abu Dhabi,14 Nov 2010,12
Australia,27 Mar 2011,0
Malaysia,10 Apr 2011,2
China,17 Apr 2011,14
Turkey,08 May 2011,10
Spain,22 May 2011,14
Monaco,29 May 2011,0
Canada,12 Jun 2011,12
Europe,26 Jun 2011,6
Great Britain,10 Jul 2011,10
Germany,24 Jul 2011,10
Hungary,31 Jul 2011,2
Belgium,28 Aug 2011,18
Italy,11 Sep 2011,10
Singapore,25 Sep 2011,6
Japan,09 Oct 2011,9
South Korea,16 Oct 2011,4
India,30 Oct 2011,18
Abu Dhabi,13 Nov 2011,14
Brazil,27 Nov 2011,6
Australia,18 Mar 2012,0
Malaysia,25 Mar 2012,1
China,15 Apr 2012,25
Bahrain,22 Apr 2012,11
Spain,13 May 2012,6
Monaco,27 May 2012,18
Canada,10 Jun 2012,8
Europe,24 Jun 2012,23
Great Britain,08 Jul 2012,6
Germany,22 Jul 2012,7
Hungary,29 Jul 2012,1
Belgium,02 Sep 2012,6
Italy,09 Sep 2012,14
Singapore,23 Sep 2012,10
Japan,07 Oct 2012,0
South Korea,14 Oct 2012,0
India,28 Oct 2012,0
Abu Dhabi,04 Nov 2012,0
United States,18 Nov 2012,0
Brazil,25 Nov 2012,6
Australia,17 Mar 2013,10
Malaysia,24 Mar 2013,27
China,14 Apr 2013,15
Bahrain,21 Apr 2013,12
Spain,12 May 2013,8
Monaco,26 May 2013,37
Canada,09 Jun 2013,25
Great Britain,30 Jun 2013,37
Germany,07 Jul 2013,12
Hungary,28 Jul 2013,25
Belgium,25 Aug 2013,27
Italy,08 Sep 2013,10
Singapore,22 Sep 2013,22
South Korea,06 Oct 2013,16
Japan,13 Oct 2013,4
India,27 Oct 2013,26
Abu Dhabi,03 Nov 2013,21
United States,17 Nov 2013,14
Brazil,24 Nov 2013,12
Australia,16 Mar 2014,25
Malaysia,30 Mar 2014,43
Bahrain,06 Apr 2014,43
China,20 Apr 2014,43
Spain,11 May 2014,43
Monaco,25 May 2014,43
Canada,08 Jun 2014,18
Austria,22 Jun 2014,43
Great Britain,06 Jul 2014,25
Germany,20 Jul 2014,40
Hungary,27 Jul 2014,27
Belgium,24 Aug 2014,18
Italy,07 Sep 2014,43
Singapore,21 Sep 2014,25
Japan,05 Oct 2014,43
Russia,21 Oct 2014,43
United States,02 Nov 2014,43
Brazil,09 Nov 2014,43
Abu Dhabi,23 Nov 2014,50
Australia,15 Mar 2015,43
Malaysia,29 Mar 2015,33
China,12 Apr 2015,43
Bahrain,19 Apr 2015,40
Spain,10 May 2015,43
Monaco,24 May 2015,40
Canada,07 Jun 2015,43
Austria,21 Jun 2015,43
Great Britain,05 Jul 2015,43
Hungary,26 Jul 2015,12
Belgium,23 Aug 2015,43
Italy,06 Sep 2015,25
Singapore,20 Sep 2015,12
Japan,27 Sep 2015,43
Russia,11 Oct 2015,25
United States,25 Oct 2015,43
Mexico,01 Nov 2015,43
Brazil,15 Nov 2015,43
Abu Dhabi,29 Nov 2015,43
Australia,20 Mar 2016,43
Bahrain,03 Apr 2016,40
China,17 Apr 2016,31
Russia,01 May 2016,43
Spain,15 May 2016,0
Monaco,29 May 2016,31
Canada,12 Jun 2016,35
Europe,19 Jun 2016,35
Austria,03 Jul 2016,37
Great Britain,10 Jul 2016,40
Hungary,24 Jul 2016,43
Germany,31 Jul 2016,37
Belgium,28 Aug 2016,40
Italy,04 Sep 2016,43
Singapore,18 Sep 2016,40
Malaysia,02 Oct 2016,15
Japan,09 Oct 2016,40
United States,23 Oct 2016,43
Mexico,30 Oct 2016,43
Brazil,13 Nov 2016,43
Abu Dhabi,27 Nov 2016,43
Australia,26 Mar 2017,33
China,09 Apr 2017,33
Bahrain,16 Apr 2017,33
Russia,30 Apr 2017,37
Spain,14 May 2017,25
Monaco,28 May 2017,18
Canada,11 Jun 2017,43
Azerbaijan,25 Jun 2017,28
Austria,09 Jul 2017,37
Great Britain,16 Jul 2017,43
Hungary,30 Jul 2017,27
Belgium,27 Aug 2017,35
Italy,03 Sep 2017,43
Singapore,17 Sep 2017,40
Malaysia,01 Oct 2017,28
Japan,08 Oct 2017,37
United States,22 Oct 2017,35
Mexico,29 Oct 2017,20
Brazil,12 Nov 2017,30
Abu Dhabi,26 Nov 2017,43
Australia,25 Mar 2018,22
Bahrain,08 Apr 2018,33
China,15 Apr 2018,30
Azerbaijan,29 Apr 2018,25
Spain,13 May 2018,43
Monaco,27 May 2018,25
Canada,10 Jun 2018,28
France,24 Jun 2018,31
Austria,01 Jul 2018,0
Great Britain,08 Jul 2018,30
Germany,22 Jul 2018,43
Hungary,29 Jul 2018,35
Belgium,26 Aug 2018,30
Italy,02 Sep 2018,40
Singapore,16 Sep 2018,37
Russia,30 Sep 2018,43
Japan,07 Oct 2018,43
United States,21 Oct 2018,25
Mexico,28 Oct 2018,22
Brazil,11 Nov 2018,35
Abu Dhabi,25 Nov 2018,35
Australia,17 Mar 2019,44
Bahrain,31 Mar 2019,43
China,14 Apr 2019,43
Azerbaijan,28 Apr 2019,43
Spain,12 May 2019,44
Monaco,26 May 2019,40
Canada,09 Jun 2019,38
France,23 Jun 2019,43
Austria,30 Jun 2019,25
Great Britain,14 Jul 2019,44
Germany,28 Jul 2019,2
Hungary,04 Aug 2019,29
Belgium,01 Sep 2019,33
Italy,08 Sep 2019,34
Singapore,22 Sep 2019,22
Russia,29 Sep 2019,44
Japan,13 Oct 2019,41
Mexico,27 Oct 2019,40
United States,03 Nov 2019,43
Brazil,17 Nov 2019,6
Abu Dhabi,01 Dec 2019,38
Austria,05 Jul 2020,37
Styria,12 Jul 2020,43
Hungary,19 Jul 2020,41
Great Britain,02 Aug 2020,25
70th Anniversary,09 Aug 2020,34
Spain,16 Aug 2020,41
Belgium,30 Aug 2020,43
Italy,06 Sep 2020,17
Tuscany,13 Sep 2020,44
Russia,27 Sep 2020,41
Eifel,11 Oct 2020,25
Portugal,25 Oct 2020,44
Emilia Romagna,01 Nov 2020,44
Turkey,15 Nov 2020,25
Bahrain,29 Nov 2020,29
Sakhir,06 Dec 2020,7
Abu Dhabi,13 Dec 2020,33
